LIST AKL PRODUCT ;;;;AKL EXPIRED;;;;
;;;;;;;;
Kode;Nama product;Kelompok;AKL NO;Expired AKL;Lampiran;Category;Vendor;Keterangan
GEDA.HDG;Rescomf Headgear;;-;;;;GEDA;
GEDA.HFNC;Rescomf High Flow Nasal Cannula;;-;;;;GEDA;
GEDA.NM-M;Rescomf Nasal Mask Size M;;-;;;;GEDA;
GEDA.TUB15;Rescomf OD15mm Tube 1.8m;;-;;;;GEDA;
GGR.i20;Mediana i20 Body Composition Analyzer;;AKL 20502120458;01/09/23;;;GGR;
GGR.i30;Mediana i30 Body Composition Analyzer;;AKL 20502120590;01/09/23;;;GGR;
GGR.M4154-0;4.3” LCD (CT043HS40I10R1)- with Touch Panel for I20;;-;;;;GGR;
GGR.P1418-0;I20 Main PCBA;;-;;;;GGR;
GGR.P1419-0;I20 LCD PCBA;;-;;;;GGR;
GGR.T0995-1;Hand Hinge-Ring for Mediana i20 and i30;;-;;;;GGR;
GGR.T2015-2;Head-Front Case-I20;;-;;;;GGR;
GGR.T4530-0;4.3inch LCD bracket (Metal);;-;;;;GGR;
GLB.HB50;BeneCheck Hb Strip 50s;;AKL 20205611482;;v;Consumable;GLB;
GLB.HBCS;BeneCheck Hb Consol;;-;;;Consumable;GLB;
GLB.HBSP;BeneCheck Hb Meter - SP;;AKL 20205611377;;v;Unit;GLB;
GLB.PLU-C10;Benecheck PLUS Chol 1x10;Diagnostik In Vitro;AKL 20101917771;15/06/26;v;Consumable;GLB;
GLB.PLU-CSC;BeneCheck PLUS Chol Consol 1.5ml;;-;;;Consumable;GLB;
GLB.PLU-CSG;BeneCheck PLUS Glu Consol 4ml;Diagnostik In Vitro;AKL 20101918235;22/09/22;v;Consumable;GLB;AKL Tidak di Perpanjang
GLB.PLU-CSU;BeneCheck PLUS UA Consol 2ml;;-;;;Consumable;GLB;
GLB.PLU-G50;Benecheck PLUS Glu 2x25;Diagnostik In Vitro;AKL 20101703994;15/06/26;v;Consumable;GLB;
GLB.PLU-NSP;Benecheck PLUS NSP;Diagnostik In Vitro;AKL 20101112792;11/06/26;v;Unit;GLB;
GLB.PLU-SP;Benecheck PLUS SP;Diagnostik In Vitro;AKL 20101112792;11/06/26;v;Unit;GLB;
GLB.PLU-U25;Benecheck PLUS UA 1x25;Diagnostik In Vitro;AKL 20101917773;15/06/26;v;Consumable;GLB;
GLB.PRM-C10;BeneCheck PRIME Chol 10s;Diagnostik In Vitro;AKL 20101913158;15/06/26;v;Consumable;GLB;
GLB.PRM-G25;Benecheck PRIME Glu 25's;Diagnostik In Vitro;AKL 20101913693;11/06/26;v;Consumable;GLB;
GLB.PRM-KIT;Benecheck PRIME KIT;Diagnostik In Vitro;AKL 20101123754;15/06/26;v;Unit;GLB;
GLB.PRM-NSP;Benecheck PRIME NSP;Diagnostik In Vitro;AKL 20101912890;11/06/26;v;Unit;GLB;
GLB.PRM-TSK;Benecheck PRIME Refill Kit (G10/C5/U10);;-;;;;GLB;
GLB.PRM-U25;BeneCheck PRIME UA 25s;Diagnostik In Vitro;AKL 20101913981;15/06/26;v;Consumable;GLB;
GLB.PUMC-NSP;BeneCheck PREMIUM Chol Meter - NSP;Diagnostik In Vitro;AKL 20101810539;15/06/26;v;Unit;GLB;
GLB.PUMC-SP;Benecheck PREMIUM TC Meter;Diagnostik In Vitro;AKL 20101810539;15/06/26;v;Unit;GLB;
GLB.PUMG-NSP;BeneCheck PREMIUM Glucose Meter - NSP;;-;;;Unit;GLB;
GLB.PUMU-NSP;BeneCheck PREMIUM UA Meter - NSP;;AKL 20101810504;15/06/26;;;GLB;
GLB.PUMU-SP;Benecheck PREMIUM  UA Meter;Diagnostik In Vitro;AKL 20101810504;15/06/26;v;Unit;GLB;
GLB.SPR-C10;BeneCheck Supreme Total Cholesterol Test Strip 10s;;AKL 20101910668;;;;GLB;
GLB.SPR-C25;BeneCheck SUPREME Chol 25s;Diagnostik In Vitro;AKL 20101910668;15/06/26;v;Consumable;GLB;
GLB.SPR-CS;Benecheck SUPREME ConSol;;-;;;;GLB;
GLB.SPR-CSC;Benecheck SUPREME+PRIME ConSol Chol;;-;;;;GLB;
GLB.SPR-CSG;Benecheck SUPREME+PRIME ConSol Glu;;-;;;;GLB;
GLB.SPR-CSU;Benecheck SUPREME+PRIME ConSol UA;;-;;;;GLB;
GLB.SPR-G50;BeneCheck SUPREME Glu 50s;Diagnostik In Vitro;AKL 20101910642;11/06/26;v;Consumable;GLB;
GLB.SPR-SP;Benecheck SUPREME SP;Diagnostik In Vitro;AKL 20101910669;15/06/26;  v;Unit;GLB;
GLB.SPR-U25;BeneCheck SUPREME UA 25s;Diagnostik In Vitro;AKL 20101912220;15/06/26;  v;Consumable;GLB;
GLM.BAG;MITRAASA Tas Antropometri Kit;;-;;;;GLM;
GLM.BSC;MITRAASA Digital Baby Scale w/ Bluetooth;;-;;;;GLM;
GLM.INF;MITRAASA Infantometer;;-;;;;GLM;
GLM.LLA;MITRAASA Lila;;-;;;;GLM;
GLM.STD;MITRAASA Stadiometer;;-;;;;GLM;
GLM.STW;MITRAASA Digital Standing Weight w/ Bluetooth;;-;;;;GLM;
GMP.3PLY;Sunmed Masker 3 Ply Earloop Box/50 pcs;;-;;;;GMP;
GSOL.D4Y;Masker Surgical 4ply DIAMOND;Non - Alkes;FR.03.02/VA/6065/2020;29/06/22;v;Consumable;GSOL;
HC.1142420;Compressor unit\SC18G\1040 (For 5L1000);Sparepart;-;;;Sparepart;HC;
HC.1174720;Linear Transformer (Trafo);Sparepart;-;;;Sparepart;HC;
HC.1802083;Main Control Board (for 5L400/5L260/5L1000);Sparepart;-;;;Sparepart;HC;
HC.1807524;Compressor unit\NL7.3MF\R134a (For 5L260);Sparepart;-;;;Sparepart;HC;
HC.1814897;The printer\SP-RMD6A-30TH\5L260;Aksesoris;-;;;Aksesoris;HC;
HC.1935732;Compressor unit\NUM80LA1\R290 (For 5L400);Sparepart;-;;;Sparepart;HC;
HC.1938369;HC-5L400 Glass Door Assembly;;FR.03.02/VA/07017/2022;23/05/24;;;HC;
HC.5L1000;Hisense Laboratory Chiller 1000L;Non - Alkes;FR.03.02/VA/07017/2022;23/05/24;v;Unit;HC;
HC.5L260;Hisense Laboratory Chiller 260L;Non - Alkes;FR.03.02/VA/07017/2022;23/05/24;v;Unit;HC;
HC.5L360;Hisense Laboratory Chiller 360L;;FR.03.02/VA/07017/2022;23/05/24;;;HC;
HC.5L400;Hisense Laboratory Chiller 400L;Non - Alkes;FR.03.02/VA/07017/2022;23/05/24;v;Unit;HC;
HC.5L760;Hisense Laboratory Chiller 760L;;FR.03.02/VA/07017/2022;23/05/24;;;HC;
HL.100;Vib-Mesh Nebulizer;Elektromedik Non - Radiasi;AKL 20403010409;18/04/21;v;Unit;HL;
HL.100.BKR;VibMesh Nebulizer ( BONGKAR );;AKL 20403010409;18/04/21;;Unit;HL;
HL.100.MS;Mask S+ Connct Tube;;AKL 20403010409;18/04/21;;;HL;AKL Tidak di Perpanjang
HL.100AC;AC Adaptor;;AKL 20403010409;18/04/21;;;HL;
HL.100MC;Medication Chamber;;AKL 20403010409;18/04/21;;;HL;
HL.100ML;Mask L+ Connct Tube;;AKL 20403010409;18/04/21;;;HL;AKL Tidak di Perpanjang
HL.100N;VibMesh Ultrasonic Nebulizer - New;;-;;;Unit;HL;
HL.100N.BKR;VibMesh Nebu New ( BONGKAR );;AKL 20403010409;18/04/21;;Unit;HL;
HL.588.NSP;MediChek HL 588 Kit ( NSP );;-;;;;HL;
HL100A3;HL VibMesh Mask;;-;;;;HL;
IBD.170;BPBIO 170 - Home Use Digital BPM;Elektromedik Non - Radiasi;AKL 20501915173;31/12/23;v;Unit;IBD;
IBD.210;BPBIO 210 - Non Mercury BPM;;-;;;;IBD;
IBD.220;BPBIO 220 Non Mercury BPM;Elektromedik Non - Radiasi;AKL 20501915754;31/12/23;v;Unit;IBD;
IBD.250;BPBIO 250 Professional Digital BPM;Elektromedik Non - Radiasi;AKL 20501915941;31/12/23;v;Unit;IBD;
IBD.320B;BPBIO 320 Table Top BPM - Blue;;AKL 20501413443;31/12/23;;;IBD;
IBD.320G;BPBIO 320 Table Top BPM - Green;Elektromedik Non - Radiasi;AKL 20501413443;31/12/23;v;Unit;IBD;
IBD.320O;BPBIO 320 Table Top BPM - Orange;;AKL 20501413443;31/12/23;;;IBD;
IBD.320S.B;BPBIO 320S - Table Top BPM;;AKL 20501220422;31/12/21;;;IBD;
IBD.320S.G;BPBIO 320S - Table Top BPM;;AKL 20501220422;31/12/21;;;IBD;
IBD.750;BPBIO 750 - Table Top BPM;Elektromedik Non - Radiasi;AKL 20501915809;31/12/23;v;Unit;IBD;
IBD.E01404003;Motor_Pump 3701PM DC6V;;-;;;;IBD;
IBD.E01404003-OLD;Pump Motor;;-;;;;IBD;
IBD.E01404004;Valve SC0526GL DC6V (Pair);;AKL 20501413443;31/12/23;;;IBD;
IBD.E01404011;Worm Gear Motor BPM ;;-;;;;IBD;
IBD.E01903014;Adaptor BPBIO 12V EC565 (DC_12V_5.4A);Aksesoris;-;;;Aksesoris;IBD;
IBD.E02202009;Print Module SMP610A;;-;;;;IBD;
IBD.FLS;Flasher for BpBio 320;Aksesoris;-;;;Aksesoris;IBD;
IBD.P10301015;P-Print Cover Blood Pressure Monitor Rev.1;Aksesoris;-;;;Aksesoris;IBD;
IBD.P10301058;P_Cuff Roller BPM;;-;;;;IBD;
IBD.P10501001;Cuff Cover for BPBIO 320;;-;;;;IBD;
IBD.P10501008-7V;Air Bag BPM BPBIO320 (old version);Aksesoris;-;;;Aksesoris;IBD;
IBD.P88225001;BPBIO Button Board;;-;;;;IBD;
IBD.P88227001;Board Main BPBIO 320 (old version) 7 V;;AKL 20501413443;31/12/23;;;IBD;
IBD.P8B846001;Assy Pump/Valve BPBIO320;;AKL 20501413443;31/12/23;;;IBD;
IBD.P8B847002;CS Motor_Pump 3701PM DC6V_7V;;AKL 20501413443;31/12/23;;;IBD;
IBD.P8F227001;Board Main BPBIO 320  12V;Aksesoris;-;;;Aksesoris;IBD;
IBD.S.P10301057;Cal Cap BPBIO;Aksesoris;-;;;Aksesoris;IBD;
IBD.S.P88299004;Assy Air Bag BPBIO330/320 (for all model);Aksesoris;-;;;Aksesoris;IBD;
IBD.S.P8F200001;Board Main BPM (CE 4th) New Version;Aksesoris;-;;;Aksesoris;IBD;
IBD.S.P8H246001;Assy Pump/Valve BPBIO750/320 (CE 4th);Aksesoris;-;;;Aksesoris;IBD;
IBD.T320;Table for BPBIO 320;;AKL 20501413443;31/12/23;;;IBD;
IBD.TBL.BP750;Table for BPBIO750;;AKL 20501915809;31/12/23;;;IBD;
IBD.TRY.BP220/BP250;Trolley for BPBIO220 / BPBIO250;;AKL 20501915754;31/12/23;;;IBD;
ISP.TBL.BP320;Table for BPBIO320;;-;;;;ISP;
ISP.TBL.BP750;Table for BPBIO750;;AKL 20501915809;31/12/23;;;ISP;
ISP.TRO.BP220;Trolley for BPBIO220 / BPBIO250;;AKL 20501915754;31/12/23;;;ISP;
ISP.TRO.FSW;Trolley for Chattanooga FSW;;-;;;;ISP;
ISP.TRO.HFNCLFN;Trolley for HFNC Lifotronic;;-;;;;ISP;
ISP.TRO.HPL7;Trolley for Chattanooga HPL7;;-;;;;ISP;
JNS.CAN8;Aluminium Cylinder 8L;;-;;;Consumable;JNS;
JNS.NO1000;Mixed Gas NO 1000 Ppm + N2 Balance;;-;;;Consumable;JNS;
JPD.100A;Jumper Pocket Doppler 100A - AA Batt;;-;;;;JPD;
JPD.100B;Jumper Pocket Doppler 100B ;Elektromedik Non - Radiasi;AKL 21101714269;23/12/26;v;Unit;JPD;
JPD.100B.ADP;Jumper 100B Adaptor;Aksesoris;AKL 21101714269;23/12/26;v;Aksesoris;JPD;
JPD.100B.BAT;Jumper 100B Battery;Aksesoris;AKL 21101714269;23/12/26;v;Aksesoris;JPD;
JPD.100B.SP;Jumper 100B Single Probe;Aksesoris;AKL 21101714269;23/12/26;v;Aksesoris;JPD;
JPD.100B+;Jumper Pocket Doppler 100B+;Elektromedik Non - Radiasi;AKL 21101714156;23/12/26;v;Unit;JPD;
JPD.100B+.BAT;Jumper 100B+ Battery;Aksesoris;AKL 21101714156;23/12/26;v;Aksesoris;JPD;
JPD.100B+.SP;Jumper 100B+ Single Probe;Aksesoris;AKL 21101714156;23/12/26;v;Aksesoris;JPD;
JPD.100E;Jumper Pocket Doppler 100E - AA Batt;;-;;;;JPD;
JPD.100N;Jumper Mini e-Sprayer;;-;;;;JPD;
JPD.100S6+L;Jumper Pocket Doppler 100S6+ LCD;;-;;;;JPD;
JPD.100S9;Jumper Fetal Doppler 100S9 Angel Sound;;AKL 21101913180;31/12/23;;;JPD;
JPD.200C;Portable Doppler 200C - Twin Mode;Elektromedik Non - Radiasi;AKL 21101714158;23/12/26;v;Unit;JPD;
JPD.200C.ADP;Jumper 200C Adaptor;;AKL 21101714158;23/12/26;;;JPD;
JPD.200C.BAT;Jumper 200C Battery;Aksesoris;AKL 21101714158;23/12/26;v;Aksesoris;JPD;
JPD.200C.MB;JPD200C - Mainboard;;-;;;;JPD;
JPD.200C.TP;Jumper 200C Probe - Twin;;AKL 21101714158;23/12/26;;;JPD;
JPD.500A;Pulse Oximeter 500A;Elektromedik Non - Radiasi;AKL 20502714157;23/12/26;v;Unit;JPD;
JPD.500A-BL;Pulse Oximeter 500A (Blue);;AKL 20502714157;23/12/26;;;JPD;
JPD.500A-GR;Pulse Oximeter 500A (Grey);;AKL 20502714157;23/12/26;;;JPD;
JPD.500A-PK;Pulse Oximeter 500A (Pink);;AKL 20502714157;23/12/26;;;JPD;
JPD.500D;Pulse Oximeter 500D;Elektromedik Non - Radiasi;AKL 20502911972;31/12/23;v;Unit;JPD;
JPD.500E.L;Pulse Oximeter 500E(LED);;AKL 20502912558;31/12/23;;;JPD;
JPD.500G;Pulse Oximeter 500G;;AKL 20502912348;31/12/23;;;JPD;
JPD.500G-B;Pulse Oximeter 500G - Bluetooth;;AKL 20502912348;31/12/23;;;JPD;
JPD.500H;Pulse Oximeter 500H;Elektromedik Non - Radiasi;AKL 20502912580;31/12/23;v;Unit;JPD;
JPD.700A;Jumper Smart Body Weight Scale 700A;Elektromedik Non - Radiasi;AKL 10901913041;31/12/23;v;Unit;JPD;
JPD.700C;Jumper Smart Body Weight Scale 700C;Elektromedik Non - Radiasi;AKL 10901913523;31/12/23;v;Unit;JPD;
JPD.800B;"Jumper Patient Monitor 800B - (12.1""/ 5 Parameter/ Thermal Printer)";;-;;;Unit;JPD;
JPD.900A;Jumper Digital Arm BPM 900A;Elektromedik Non - Radiasi;AKL 20501714271;23/12/26;v;Unit;JPD;
JPD.900W;Jumper Digital Wrist BPM 900W;Elektromedik Non - Radiasi;AKL 20501911595;31/12/23;v;Unit;JPD;
JPD.BFS100;Jumper Smart Body Fat Scale BFS100;Elektromedik Non - Radiasi;AKL 10901913415;31/12/23;v;Unit;JPD;
JPD.BFS101;Jumper Smart Body Fat Scale BFS101;;-;;;;JPD;
JPD.BFS102;Jumper Smart Body Fat Scale BFS102;;-;;;;JPD;
JPD.BFS710;Jumper Smart Body Fat Scale BFS710;;-;;;;JPD;
JPD.BFS711;Jumper Smart Body Fat Scale BFS711;Elektromedik Non - Radiasi;AKL 10901913521;31/12/23;v;Unit;JPD;
JPD.ES100;Jumper TENS Therapy Device - Bluetooth;;-;;;;JPD;
JPD.ES200;Jumper TENS Therapy Device hand held;Elektromedik Non - Radiasi; AKL 21003916550;31/12/23;v;Unit;JPD;
JPD.ES200PAD;Pad for Jumper TENS ES200;;-;;;;JPD;
JPD.FR100;Jumper IR Thermometer FR100 - Dual Mode;;-;;;Unit;JPD;
JPD.FR100+;Jumper Thermometer (Frhd & Ear) FR100+;Elektromedik Non - Radiasi;AKL 20901714270;23/12/26;v;Unit;JPD;
JPD.FR202;Jumper Thermogun FR202;Elektromedik Non - Radiasi;AKL 20901912569;31/12/23;v;Unit;JPD;
JPD.FR401;Jumper Thermometer (Frhd & Ear) FR401;;-;;;;JPD;
JPD.FR408;Jumper Thermometer (Frhd & Ear) FR408;;AKL 20901912727;31/12/23;;;JPD;
JPD.FR412;Jumper Thermometer (Frhd & Ear) FR412;Elektromedik Non - Radiasi;AKL 20901915942;31/12/23;v;Unit;JPD;
JPD.HA101;Jumper Digital BPM HA101;;AKL 20501220188;04/01/26;;;JPD;
JPD.HA120;Jumper Digital BPM HA120 - Bluetooth;;-;;;;JPD;
JPD.HA121;Jumper Digital Arm BPM HA121;;-;;;;JPD;
JPD.HA200;Jumper Digital BPM HA200 - w/ Voice;Elektromedik Non - Radiasi;AKL 20501913032;31/12/23;v;Unit;JPD;
JPD.HA200C.L;"Jumper HA200 Adult Cuff Large (8,7""-16,5"")";Aksesoris;AKL 20501913032;31/12/23;v;Aksesoris;JPD;
JPD.HA210;Jumper Digital BPM HA210 (Arm);;AKL 20501220201;23/12/26;;;JPD;
JPD.IBP2;Jumper 800B - Additional IBP (Twin Channel);;-;;;;JPD;
JPD.PMACF;Jumper 800B - NIBP Cuff (27-35cm);Aksesoris;-;;;Aksesoris;JPD;
JPD.PMACF.L;Jumper 800B - NIBP Cuff (34-43cm) - Large;Aksesoris;-;;;Aksesoris;JPD;
JPD.PMBAT;Jumper 800B - Battery (12V, 2.3Ah);Aksesoris;-;;;Aksesoris;JPD;
JPD.PMEC5;Jumper 800B - ECG Cable (5 Lead);Aksesoris;-;;;Aksesoris;JPD;
JPD.PMR;Jumper 800B - Printer Unit;;-;;;Unit;JPD;
JPD.PMSP;Jumper 800B - SPO2 Sensor;Sparepart;-;;;Sparepart;JPD;
JPD.PMTUB;Jumper 800B - NIBP Tube with Connector (2m);Sparepart;-;;;Sparepart;JPD;
JUD.TC1N1;Portable Ward sRoom;Non Alkes ;FR.03.02/VA/10961/2021;16/08/23;v;Unit;JUD;
KKG.FK-001;Fluorecare MFT-1000 Reader + MF-C100 Incubator;;-;;;Unit;KKG;
KKG.MF-12;FM TestKit Ferritin 20's;;AKL 20305027933;11/08/25;;;KKG;
KKG.MF-20;FM TestKit TSH 20's;;AKL 20101122957;31/12/25;;;KKG;
KKG.MF-21;FM TestKit T3 20's;;-;;;;KKG;Belum Ada AKL
KKG.MF-22;FM TestKit T4 20's;;-;;;;KKG;Belum Ada AKL
KKG.MF-24;FM TestKit fT4 20's;;-;;;;KKG;
KKG.MF-27;FM TestKit PCT 20's;;AKL 20303028047;24/08/25;;;KKG;
KKG.MF-28;FM TestKit CRP 20's;Diagnostik In Vitro;AKL 20305027700;11/08/25;v;Aksesoris;KKG;
KKG.MF-31;FM TestKit Troponin I ( cTnI ) 20's;;-;;;;KKG;Belum Ada AKL
KKG.MF-34;FM TestKit D-Dimer 20's;Diagnostik In Vitro;AKL 20207120235;11/08/25;v;Aksesoris;KKG;
KKG.MF-37;FM TestKit Hba1C 20's;;AKL 20207027699;11/08/25;;;KKG;
KKG.MF-42;FM TestKit 25 OH VD 20's;;-;;;;KKG;
KKG.MF-63;FM TestKit SARS-CoV-2 Fluorescence Assay 25's;;-;;;;KKG;Belum Ada AKL
KKG.MF-70;FM TestKit SARS-CoV-2 Neutralizing Antibody 25's;;-;;;Aksesoris;KKG;Belum Ada AKL
KSG.AG20;Konsung Rapid Test C19 Box 20's - ANTIGEN;Diagnostik In Vitro;AKL 20303122145;14/04/22;v;Consumable;KSG;
KSG.H7A;KONSUNG Hb Analyzer H7;;AKL 20205120018;13/07/23;;;KSG;
KSG.H7MC50;KONSUNG H7 Micro Cuvette 50's;;AKL 20205028266;13/07/23;;;KSG;
KSG.QCARD;Konsung QC Card (Cuvet) for Hb Analyzer;;-;;;;KSG;
LDE.AG20;LDEBIO Rapid Test C19 Box 20's - ANTIGEN;;-;;;;LDE;
LDE.NABE96;LDEBIO Neutralization Antibody Elisa Kit 96's;;-;;;;LDE;
LDE.VTM100-N;Longsee VTM Box 100's (Non-Inactivated);;-;;;;LDE;
LDS.TY1070;Steripack TYVEK Roll (Flat) 10cm x 70m;Non Elektromedik Non Steril;AKL 20903515595;14/02/26;v;Consumable;LDS;
LDS.TY2570;Steripack TYVEK Roll (Flat) 25cm x 70m;Non Elektromedik Non Steril;AKL 20903515595;14/02/26;v;Consumable;LDS;
LFN.HFCWOBAD-L10;Lifotronic Pneu-Chestband (Bedrest) Disposable L 10s;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOBAD-M10;Lifotronic Pneu-Chestband (Bedrest) Disposable M 10s;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOBAD-S10;Lifotronic Pneu-Chestband (Bedrest) Disposable S 10s;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOBAR-L;Lifotronic Pneu-Chestband (Bedrest) Reusable L;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOBAR-M;Lifotronic Pneu-Chestband (Bedrest) Reusable M;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOBAR-S;Lifotronic Pneu-Chestband (Bedrest) Reusable S;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOPV100;Lifotronic HFCWO PV-100 (Airway Clearance System);Elektromedik Non - Radiasi;-;;;Unit;LFN;
LFN.HFCWOTUB;Lifotronic HFCWO Airflow Tube Disposable;;-;;;;LFN;
LFN.HFCWOVED-L5;Lifotronic Pneu-Vest Disposable L 5s;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOVED-M5;Lifotronic Pneu-Vest Disposable M 5s;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOVED-S5;Lifotronic Pneu-Vest Disposable S 5s;;-;;;;LFN;Belum Ada AKL
LFN.HFCWOVER-L;Lifotronic Pneu-Vest Reusable L;Aksesoris;-;;;Aksesoris;LFN;Belum Ada AKL
LFN.HFCWOVER-M;Lifotronic Pneu-Vest Reusable M;Aksesoris;-;;;Aksesoris;LFN;Belum Ada AKL
LFN.HFCWOVER-S;Lifotronic Pneu-Vest Reusable S;Aksesoris;-;;;Aksesoris;LFN;Belum Ada AKL
LFN.HFNC800A-G;Lifotronic HFNC Hi-800 (Auto) - German;;-;;;;LFN;
LFN.HFNC800A-J;Lifotronic HFNC Hi-800 (Auto) - Jepang;;AKL 20403123050;31/03/24;;;LFN;
LFN.HFNC800A-S;Lifotronic HFNC Hi-800 (Auto) - Australia;Elektromedik Non - Radiasi;AKL 20403123050;31/03/24;v;Unit;LFN;
LFN.HFNC800A-U;Lifotronic HFNC Hi-800 (Auto) - USA;;AKL 20403123050;31/03/24;;;LFN;
LFN.HFNCNC;Lifotronic HFNC Nasal Cannula;Aksesoris;AKL 20403123050;31/03/24;v;Aksesoris;LFN;
LFN.HFNCTRO;Lifotronic HFNC Trolley;Aksesoris;AKL 20403123050;31/03/24;v;Aksesoris;LFN;
LFN.HFNCTUB;Lifotronic HFNC Tube and Chamber Kit;Aksesoris;AKL 20403123050;31/03/24;v;Aksesoris;LFN;
LFN.WIRA750P;Lifotronic NILT Lifowave-WIRA 750Pro;Elektromedik Non - Radiasi;-;;;Unit;LFN;Belum Ada AKL
LPG.101959701;H360 Power supply subset;;-;;;;LPG;
LPG.101959901;Breaker Subset for Huber 360 Evo;;-;;;;LPG;
LPG.H360E;Huber 360 Evolution;;AKL 21403126530;31/12/22;;;LPG;
LTOH.AB25;LITUO Rapid Test C19 Box 25's - ANTIBODY;;AKL 20303025718;29/09/21;;;LTOH;AKL Tidak di Perpanjang
LTOH.ABIP;LITUO Rapid Test C19 Individual Pack - ANTIBODY;;AKL 20303025718;29/09/21;;;LTOH;AKL Tidak di Perpanjang
LTOZ.VTM25;LITUO VTM Box 25's;Diagnostik In Vitro;AKL 10302025463;28/07/23;v;Consumable;LTOZ;
LTOZ.VTM25-N;LITUO VTM Box 25's (Non Inactivated);;AKL 10302122842;28/07/23;;;LTOZ;
LTOZ.VTM50;LITUO VTM Box 50's;Diagnostik In Vitro;AKL 10302025463;28/07/23;v;Consumable;LTOZ;
LTOZ.VTM50-N;LITUO VTM Box 50's (Non Inactivated);;AKL 10302122842;28/07/23;;;LTOZ;
LW.210;LWS 2100A Lab Rotator, 220Volt;;-;;;Unit;LW;
LW.24CBXT24;LWS Centrifuge Combo V24 (24 Rotor);;-;;;Unit;LW;
LW.C5SV8;LWS Centrifuge C5;;-;;;Unit;LW;
LW.RV30A;LWS Revelation III Microscope;;-;;;Unit;LW;
LYS.ATG25;LYSUN Rapid Test C19 Box 25's - ANTIGEN;;-;;;;LYS;
MARS.MS-700;Automatic Digital Blood Pressure Monitor Type MS-700;;-;;;Unit;MARS;
MARS.MS-801;Automatic Digital Blood Pressure Monitor Type MS-801;;-;;;Unit;MARS;
MDS.BCART;Black Cartridge for Gills Mask 2s;Aksesoris;FR.03.02/VA/4415/2020;;;Aksesoris;MDS;
MDS.BSTRP;Black Strap + Black Buckle ( 2 sets per bag );Aksesoris;FR.03.02/VA/4415/2020;;;Aksesoris;MDS;
MDS.FP95;FP95 Filter for Gill Mask 10s;Aksesoris;FR.03.02/VA/4415/2020;;;Aksesoris;MDS;
MDS.GM-JR;Gill Mask Reusable Respirator - Junior;Non - Alkes;FR.03.02/VA/4415/2020;;v;Consumable;MDS;
MDS.GM-LB;Gill Mask Reusable Respirator - Large Black;Non - Alkes;FR.03.02/VA/4415/2020;;v;Consumable;MDS;
MDS.GM-LW;Gill Mask Reusable Respirator - Large White;Non - Alkes;FR.03.02/VA/4415/2020;;v;Consumable;MDS;
MDS.GM-RB;Gill Mask Reusable Respirator - Regular Black;Non - Alkes;FR.03.02/VA/4415/2020;;v;Consumable;MDS;
MDS.GM-RW;Gill Mask Reusable Respirator - Regular White;Non - Alkes;FR.03.02/VA/4415/2020;;v;Consumable;MDS;
MDS.GSTRP;Grey Strap + White Buckle ( 2 sets per bag );Aksesoris;-;;;Aksesoris;MDS;
MDS.WCART;White Cartridge for Gill Mask 2s;Aksesoris;-;;;Aksesoris;MDS;
MEL.ME2002;MEDEASE Bottle Bubble Humidifier;;-;;;;MEL;
MEL.ME2012;MEDEASE Disposable O2 Nasal Cannula;;-;;;;MEL;
MES.10.13001;Pneumotach Headpiece;;AKL 20401411284;14/05/24;;;MES;
MES.10.1300161;Holder of COUPLER (Grey);;-;;;;MES;
MES.10.13002;Calibration Syringe 3L;;-;;;Aksesoris;MES;
MES.10.13021;Mouthpiece Adult;;AKL 20401411284;14/05/24;;Aksesoris;MES;
MES.10.13022;Mouthpiece Children;;AKL 20401411284;14/05/24;;Aksesoris;MES;
MES.10.61000;Lungtest Mobile w/ inner therm printer;Non Elektromedik - Non Radiasi;AKL 20401411284;14/05/24;v;Unit;MES;
MES.10.LCD;LCD MODULE (COMPLETE SET);;-;;;;MES;
MES.10612003;Analog Board For Flow Transducer;;AKL 20401411284;14/05/24;;;MES;
MES.ANB;ANALOG BOARD FOR LUNGTEST MOBILE;;-;;;Sparepart;MES;
MES.MNB;MAIN BOARD FOR LUNGTEST MOBILE;;-;;;Sparepart;MES;
MMT.C3;Micomme Auto CPAP i-C3 ;;-;;;Unit;MMT;
MMT.NM4M;Micomme Nasal Mask - Size M;;-;;;Aksesoris;MMT;
MMT.OD100;Micomme CPAP Cleaner OD-100;;-;;;Unit;MMT;
MRID.003C-30-83703-1;SC-CAL PLUS (3ml);;AKL 20208023547;24/03/25;;;MRID;
MRID.0106B-PA00007;UA-600T;;AKL 20102123420;29/06/25;;;MRID;
MRID.040-000009-1;BC-3D(2H-2N-2L);;AKL 20208022325;21/08/24;;;MRID;
MRID.040-000018-00;Control BC-5D(2H-2N-2L);;AKL 20208817058;17/05/23;;;MRID;
MRID.105-000405-00;Probe Cleanser (50ml);;AKL 10204211397;29/06/25;;;MRID;
MRID.105-002225-A0;Probe Cleanser (M-68/En);;-;;;;MRID;
